index,id,item,parent
PS-02-03-04,JkxnuPw,Understand the specific treatment methods of diseases affecting the nervous system.,JnIAstY
PS-02-03-05,JkxnuP0,"Understand the etiology, epidemiology, symptoms, examination, diagnosis, and treatment of diseases of the nervous system.",JnIAstY
PS-02-04-01,JkxnuP4,Understand the basic structure and function of the dermatological system.,JnIAstc
PS-02-04-02,JkxnuP8,Understand the symptoms seen in diseases of the dermatological system.,JnIAstc
PS-02-04-03,JkxnuQA,Understand the basic examination methods of the dermatological system.,JnIAstc
PS-02-04-04,JkxnuQE,Understand the specific treatment methods of diseases affecting the dermatological system.,JnIAstc
PS-02-04-05,JkxnuQI,"Understand the etiology, epidemiology, symptoms, examination, diagnosis, and treatment of diseases of the dermatological system.",JnIAstc
PS-02-05-01,JkxnuQM,Understand the basic structure and function of the musculoskeletal system.,JnIAstk
PS-02-05-02,JkxnuQQ,Understand the symptoms seen in diseases of the musculoskeletal system.,JnIAstk
PS-02-05-03,JkxnuQU,Understand the basic examination methods of the musculoskeletal system.,JnIAstk
PS-02-05-04,JkxnuQY,Understand the specific treatment methods of diseases affecting the musculoskeletal system.,JnIAstk
PS-02-05-05,JkxnuQc,"Understand the etiology, epidemiology, symptoms, examination, diagnosis, and treatment of diseases of the musculoskeletal system.",JnIAstk
PS-02-06-01,JkxnuQg,Understand the basic structure and function of the cardiovascular system.,JnIAsto
PS-02-06-02,JkxnuQk,Understand the symptoms seen in diseases of the cardiovascular system.,JnIAsto
PS-02-06-03,JkxnuQo,Understand the basic examination methods of the cardiovascular system.,JnIAsto
PS-02-06-04,JkxnuQs,Understand the specific treatment methods of diseases affecting the cardiovascular system.,JnIAsto
PS-02-06-05,JkxnuQw,"Understand the etiology, epidemiology, symptoms, examination, diagnosis, and treatment of diseases of the cardiovascular system.",JnIAsto
PS-02-07-01,JkxnuQ0,Understand the basic structure and function of the respiratory system.,JnIAstw
PS-02-07-02,JkxnuQ4,Understand the symptoms seen in diseases of the respiratory system.,JnIAstw
PS-02-07-03,JkxnuQ8,Understand the basic examination methods of the respiratory system.,JnIAstw
PS-02-07-04,JkxnuRA,Understand the specific treatment methods of diseases affecting the respiratory system.,JnIAstw
PS-02-07-05,JkxnuRE,"Understand the etiology, epidemiology, symptoms, examination, diagnosis, and treatment of diseases of the respiratory system.",JnIAstw
PS-02-08-01,JkxnuRI,Understand the basic structure and function of the digestive system.,JnIAst0
PS-02-08-02,JkxnuRM,Understand the symptoms seen in diseases of the digestive system.,JnIAst0
PS-02-08-03,JkxnuRQ,Understand the basic examination methods of the digestive system.,JnIAst0
PS-02-08-04,JkxnuRU,Understand specific treatment methods of diseases affecting the digestive system.,JnIAst0
PS-02-08-05,JkxnuRY,"Understand the etiology, epidemiology, symptoms, examination, diagnosis, and treatment of diseases of the digestive system.",JnIAst0
PS-02-09-01,JkxnuRc,Understand the basic structure and function of the renal and urinary system.,JnIAst8
PS-02-09-02,JkxnuRg,Understand the symptoms seen in diseases of the renal and urinary system.,JnIAst8
PS-02-09-03,JkxnuRk,Understand the basic examination methods of the renal and urinary system.,JnIAst8
PS-02-09-04,JkxnuRo,Understand the specific treatments methods of diseases affecting the renal and urinary system.,JnIAst8
PS-02-09-05,JkxnuRs,"Understand the etiology, epidemiology, symptoms, examination, diagnosis, and treatment of diseases of the renal and urinary system.",JnIAst8
PS-02-10-01,Jn46SWA,Understand the basic structure and function of the reproductive system.,JnIAsuA
PS-02-10-02,JkxnuR0,Understand the symptoms seen in diseases of the reproductive system.,JnIAsuA
PS-02-10-03,JkxnuR4,Understand the basics examination methods of the reproductive system.,JnIAsuA
PS-02-10-04,JkxnuR8,Understand the specific treatment methods for diseases affecting the reproductive system.,JnIAsuA
PS-02-10-05,JkxnuSA,"Understand the etiology, epidemiology, symptoms, examination, diagnosis, and treatment of diseases of the reproductive system.",JnIAsuA
PS-02-11-01,JkxnuSE,Understand the basic structures and functions associated with pregnancy and delivery.,JnIAsuI
PS-02-11-02,JkxnuSI,Understand the symptoms associated with pregnancy and delivery.,JnIAsuI
PS-02-11-03,JkxnuSM,Understand the basic examination methods for pregnancy and delivery.,JnIAsuI
PS-02-11-04,JkxnuSQ,Understand the specific treatment methods associated with pregnancy and delivery.,JnIAsuI
PS-02-11-05,JkxnuSU,"Understand the etiology, epidemiology, symptoms, examination, diagnosis, and treatment of diseases associated with pregnancy and delivery.",JnIAsuI
PS-02-12-01,Jli53Ic,Understand the symptoms seen in diseases affecting children.,JnIAsuM
PS-02-12-02,Jli53IY,Understand the basic examination methods used in pediatrics.,JnIAsuM
PS-02-12-03,Jli53IQ,Understand the specific treatment methods used in pediatrics.,JnIAsuM
PS-02-12-04,Jli53IM,"Understand the etiology, epidemiology, symptoms, examination, diagnosis, and treatment of pediatric diseases and conditions.",JnIAsuM
PS-02-13-01,JkxnuSY,Understand the basic structure and function of the breast.,JnIAsuU
PS-02-13-02,JkxnuSc,Understand the symptoms seen in diseases of the breast.,JnIAsuU
PS-02-13-03,JkxnuSg,Understand the basic examination methods of the breast.,JnIAsuU
PS-02-13-04,JkxnuSk,Understand the specific treatment methods of diseases affecting the breast.,JnIAsuU
PS-02-13-05,JkxnuSs,"Understand the etiology, epidemiology, symptoms, examination, diagnosis, and treatment of diseases of the breast.",JnIAsuU
PS-02-14-01,JkxnuSw,"Understand the basic structure and function of the endocrine, nutritional, and metabolic systems.",JnIAsuc
PS-02-14-02,JkxnuS0,"Understand the symptoms seen in diseases of the endocrine, nutritional, and metabolic systems.",JnIAsuc
PS-02-14-03,JkxnuS4,"Understand the basic examination methods of the endocrine, nutritional, and metabolic systems.",JnIAsuc
PS-02-14-04,JkxnuS8,"Understand the specific treatments of diseases affecting the endocrine, nutritional, and metabolic systems.",JnIAsuc
PS-02-14-05,JkxnuTA,"Understand the etiology, epidemiology, symptoms, examination, diagnosis, and treatment of diseases of the endocrine, nutritional, and metabolic systems.",JnIAsuc
PS-02-14-06,J5Zjel4,Understand the pathogenesis of metabolic syndrome.,JnIAsuc
PS-02-15-01,JkxnuTE,Understand the basic structure and function of the ocular and visual system.,JnIAsug
PS-02-15-02,JkxnuTI,Understand the symptoms seen in diseases of the ocular and visual system.,JnIAsug
PS-02-15-03,JkxnuTM,Understand the basic examination methods of the ocular and visual system.,JnIAsug
PS-02-15-04,JkxnuTQ,Understand the specific treatment methods of diseases affecting the ocular and visual system.,JnIAsug
PS-02-15-05,JkxnuTU,"Understand the etiology, epidemiology, symptoms, examination, diagnosis, and treatment of diseases of the ocular and visual system.",JnIAsug
PS-02-16-01,JkxnuTY,"Understand the basic structure and function of the ear, nose, throat, and oral cavity.",JnIAsuo
PS-02-16-02,JkxnuTc,"Understand the symptoms seen in diseases of the ear, nose, throat, and oral cavity.",JnIAsuo
PS-02-16-03,JkxnuTg,"Understand the basic examination methods of the ear, nose, throat, and oral cavity.",JnIAsuo
PS-02-16-04,JkxnuTk,"Understand the specific treatment methods of diseases affecting the ear, nose, throat, and oral cavity.",JnIAsuo
PS-02-16-05,JkxnuTo,"Understand the etiology, epidemiology, symptoms, examination, diagnosis, and treatment of diseases of the ear, nose, throat, and oral cavity.",JnIAsuo
PS-02-17-01,JkxnuTs,Understand the basic structure and function of the brain and mental system.,JnIAsus
PS-02-17-02,JkxnuTw,Understand the symptoms seen in psychiatric disorders.,JnIAsus
PS-02-17-03,JkxnuT0,Understand the basic examination methods used in psychiatry.,JnIAsus
PS-02-17-04,JkxnuT4,Understand the specific treatment methods of psychiatric disorders.,JnIAsus
PS-02-17-05,JkxnuT8,"Understand the etiology, epidemiology, symptoms, examination, diagnosis, and treatment of psychiatric disorders.",JnIAsus
PS-03-01-01,JkxnuUA,Understand an overview of the Hardy–Weinberg law as a basis for population genetics.,JnIAsu0
PS-03-01-02,JkxnuUE,Create and evaluate a family tree.,JnIAsu0
PS-03-01-03,JkxnuUI,"Understand the difference between germline and somatic mutations, and the purpose and significance of genetic testing.",JnIAsu0
PS-03-01-04,JkxnuUM,"Understand the characteristics of genetic information (constancy, predictability, shareability, and ambiguity).",JnIAsu0
PS-03-01-05,JkxnuUQ,Understand the significance and methods of genetic counseling.,JnIAsu0
PS-03-01-06,JkxnuUU,"Understand ethical, legal, and social considerations in genetic medicine.",JnIAsu0
PS-03-01-07,JkxnuUY,Access information related to genetic medicine.,JnIAsu0
PS-03-01-08,JkxnuUc,Understand an overview of appropriate approaches including treatment and prevention based on genetic information for patients with genetic disorders and asymptomatic family members.,JnIAsu0
PS-03-02-01,JnGUA2Q,"Understand the concepts of and differentiate between collagen diseases, vasculitis, rheumatic diseases, allergic diseases, and autoimmune diseases, and list the specific diseases included in each category ([@tbl:TBL0100]).",JnIAsu4
PS-03-02-02,JnGUA2Y,"Understand the signs and symptoms of collagen diseases, vasculitis, rheumatic diseases, allergic diseases, and autoimmune diseases ([@tbl:TBL0217]).",JnIAsu4
PS-03-02-03,JnGUA2g,Understand the principles of immunoserological testing and the clinical significance of test results ([@tbl:TBL0217]).,JnIAsu4
PS-03-02-04,JnGUA2o,"Understand the therapeutic agents used in collagen diseases, vasculitis, rheumatic diseases, allergic diseases, and autoimmune diseases ([@tbl:TBL0217]).",JnIAsu4
PS-03-02-05,JnGUA2s,"Explain the etiology, epidemiology, syndromes, major tests/diagnoses, treatments, and complications relating to collagen diseases, vasculitis, rheumatic diseases, allergic diseases, and autoimmune diseases ([@tbl:TBL0217]).",JnIAsu4
PS-03-03-01,JkxnuUg,Understand the causative microorganisms of common community-acquired infections.,JnIAsvA
PS-03-03-02,JkxnuUk,Understand the causative microorganisms of common healthcare-associated infections.,JnIAsvA
PS-03-03-03,JkxnuUo,Understand an overview of the common microorganisms that immunocompromised patients are susceptible to.,JnIAsvA
PS-03-03-04,JkxnuUs,"Understand the current status of drug resistance, common drug-resistant organisms (methicillin-resistant Staphylococcus aureus), and preventive measures such as proper use of antimicrobial agents.",JnIAsvA
PS-03-03-05,JkxnuUw,"Understand the relationships between and among the patient (host), the organ/site of infection, and the causative microorganisms.",JnIAsvA
PS-03-03-06,JkxnuU0,"Understand the risk factors, routes of infection/entry sites, and pathophysiology of common community-acquired infections.",JnIAsvA
PS-03-03-07,JkxnuU4,"Understand the risk factors, routes of infection/entry sites, and pathophysiology of common healthcare-associated infections.",JnIAsvA
PS-03-03-08,JkxnuU8,"Understand the difference between sepsis and bloodstream infection, and their respective pathogeneses.",JnIAsvA
PS-03-03-09,JkxnuVA,"Understand the routes of transmission of emerging and re-emerging infectious diseases, and understand the required infection control measures.",JnIAsvA
PS-03-03-10,JkxnuVE,Understand and surmise the organs affected and microorganisms involved by taking a medical history and conducting appropriate physical examinations.,JnIAsvA
PS-03-03-11,JkxnuVI,Understand how to diagnose causative microorganisms on the basis of history-taking and physical examination.,JnIAsvA
PS-03-03-12,JkxnuVM,"Understand standard laboratory tests (such as two sets of blood cultures, urinalysis/urine culture, and chest X-ray) for patients with fever.",JnIAsvA
PS-03-03-13,JkxnuVQ,"Understand the principles of antimicrobial therapy (culture specimens should be submitted prior to antimicrobial administration, standard drugs should be selected in accordance with the relevant microorganisms and organs, and the duration of administration should be set).",JnIAsvA
PS-03-03-14,JkxnuVU,Understand empirical antimicrobial therapy (presumptive therapy).,JnIAsvA
PS-03-03-15,JkxnuVY,Understand specific antimicrobial therapy (targeted therapy).,JnIAsvA
PS-03-03-16,JkxnuVc,Understand vaccine-preventable diseases ([@tbl:TBL0100]).,JnIAsvA
PS-03-03-17,JkxnuVg,"Understand occupational health (vaccination, needlestick injuries and body fluid exposure, tuberculosis exposure, etc.).",JnIAsvA
PS-03-03-18,JkxnuVo,"Understand the pathogenic microorganisms for which standard precautions and isolation precautions (droplet, contact, airborne, etc.) are required, the personal protective equipment and vaccinations necessary to prevent healthcare workers being exposed to pathogenic microorganisms from patients, and infection control measures following healthcare workers being exposed to bodily fluids.",JnIAsvA
PS-03-04-01,JkxnuXM,"Understand the definition of cancers and neoplastic diseases and their characteristics, along with genomic abnormalities and molecular mechanisms such as epigenetic modifications.",JnIAsvE
PS-03-04-02,JkxnuXQ,"Understand the frequency at which the various types of cancer occur, both in Japan and internationally.",JnIAsvE
PS-03-04-03,JkxnuXU,"Understand risk factors such as genetic predisposition, underlying diseases, infectious diseases, and environmental and lifestyle factors for the development of neoplastic diseases, as well as cancer prevention and screening.",JnIAsvE
PS-03-04-04,JkxnuXY,"Understand an overview of cancer-specific tests and their findings, such as tumor markers, biomarkers, and cancer gene panel tests.",JnIAsvE
PS-03-04-05,JkxnuXc,"Understand and diagnose abnormal findings in endoscopy and imaging tests (X-ray, CT, MRI, PET/nuclear medicine, ultrasound, etc.) for tumors.",JnIAsvE
PS-03-04-06,JkxnuXg,"Understand an overview of biopsy, cytology, and pathological examinations of tumors and their findings.",JnIAsvE
PS-03-04-07,JkxnuXk,Understand an overview of TNM classification and the staging system of cancers.,JnIAsvE
PS-03-04-08,JkxnuXo,Understand the symptoms of patients with cancer ([@tbl:TBL0219]).,JnIAsvE
PS-03-04-09,JkxnuXs,"Understand the symptoms, diagnosis, and treatment of major hematopoietic cancers.",JnIAsvE
PS-03-04-10,JkxnuXw,"Understand the symptoms, diagnosis, and treatment of major brain tumors.",JnIAsvE
PS-03-04-11,JkxnuX0,"Understand the symptoms, diagnosis, and treatment of major skin cancers.",JnIAsvE
PS-03-04-12,JkxnuX4,"Understand the symptoms, diagnosis, and treatment of major bone and soft tissue cancers.",JnIAsvE
PS-03-04-13,JkxnuYA,"Understand the symptoms, diagnosis, and treatment of major thoracic (respiratory) cancers.",JnIAsvE
PS-03-04-14,JkxnuYE,"Understand the symptoms, diagnosis, and treatment of major gastrointestinal cancers.",JnIAsvE
PS-03-04-15,JkxnuYI,"Understand the symptoms, diagnosis, and treatment of major urologic cancers.",JnIAsvE
PS-03-04-16,JkxnuYM,"Understand the symptoms, diagnosis, and treatment of major cancers of the reproductive system.",JnIAsvE
PS-03-04-17,JkxnuYQ,"Understand the symptoms, diagnosis, and treatment of major breast cancers.",JnIAsvE
PS-03-04-18,JkxnuYU,"Understand the symptoms, diagnosis, and treatment of major endocrine system cancers.",JnIAsvE
PS-03-04-19,JkxnuYc,"Understand the symptoms, diagnosis, and treatment of major head and neck cancers.",JnIAsvE
PS-03-04-20,JkxnuYg,"Understand the major types, symptoms, diagnosis, and treatment of pediatric cancers.",JnIAsvE
PS-03-04-21,JkxnuYk,"Understand an overview of the types, symptoms, diagnosis, and treatment of cancers of unknown primary, and metastatic, overlapping, adolescent and young adult (AYA), and rare cancers.",JnIAsvE
PS-03-04-22,JkxnuYw,"Understand an overview of cancers prone to oncological emergencies (spinal cord compression, tumor lysis syndrome, superior vena cava syndrome, metabolic disorders, adverse treatment events, etc.) and their respective pathophysiologies, symptoms, and management.",JnIAsvE
PS-03-04-23,JkxnuY4,Understand an overview of surgical treatment of major tumors.,JnIAsvE
PS-03-04-24,Jkxnud4,Understand an overview of indications for radiation therapy and interventional radiology for major tumors.,JnIAsvE
PS-03-04-25,JkxnuY8,"Understand an overview of indications for pharmacotherapy (cytotoxic anticancer agents, molecular targeted agents), hematopoietic stem cell transplantation, and cancer immunology for major tumors.",JnIAsvE
PS-03-04-26,JkxnuZA,Understand supportive and palliative care for patients with cancer.,JnIAsvE
PS-03-04-27,JkxnuZE,Understand the social and psychological challenges for patients with cancer.,JnIAsvE
PS-03-05-01,Jkxnuaw,"Understand an overview of the regional emergency medical care system through the concepts of the prehospital emergency medical care system, medical control, and primary, secondary, and tertiary emergency care.",JnIAsvM
PS-03-05-02,JkxnubY,"Understand the pathogeneses of and main diagnostic criteria for the following shock categories: (1) distributive shock (anaphylactic, septic, neurogenic); (2) hypovolemic shock (hemorrhagic, fluid loss); (3) cardiogenic shock (myocardial contractility, valve disease, arrhythmia); and (4) obstructive shock (cardiac tamponade, pulmonary embolism, tension pneumothorax).",JnIAsvM
PS-03-05-03,Jkxnubc,Understand the initial management for patients with shock and specific treatment depending on the cause of the shock.,JnIAsvM
PS-03-05-04,Jkxnubg,"Understand the pathogeneses of and main diagnostic criteria for the following causes of cardiac arrest: (1) cardiovascular (acute myocardial infarction, acute aortic dissection, ruptured aortic aneurysm, pulmonary embolism); (2) respiratory (airway obstruction, tension pneumothorax, hypoxemia due to parenchymal lesions); (3) neurogenic (severe head and spinal trauma, acute subarachnoid hemorrhage); (4) poisoning and environmental factors (poisoning, heat stroke, hypothermia); and (5) electrolyte and acid-base imbalance (hypo- and hyperkalemia, acidosis, hypoglycemia).",JnIAsvM
PS-03-05-05,Jkxnubk,Understand the initial management of cardiac arrest (cardiopulmonary resuscitation and advanced cardiac life support) and specific treatments depending on its causes.,JnIAsvM
PS-03-05-06,Jkxnubo,"Surmise the substance responsible for poisoning the patient from their medical history and physical examination, on the basis of the toxidrome presented.",JnIAsvM
PS-03-05-07,Jkxnubs,"Understand an overview of the indications and contraindications for the use of absorption inhibitors, elimination accelerators, and antagonists in the treatment of poisoned patients.",JnIAsvM
PS-03-05-08,Jkxnubw,"Understand the etiology (pathogenesis), symptoms, diagnosis, and treatment of poisoning associated with food, gas (carbon monoxide, hydrogen sulfide, cyanide), pesticide (organophosphorus, organochlorine), alcohol, and drugs (sleeping pills, psychotropic drugs, antipyretic analgesics, narcotics, stimulants).",JnIAsvM
PS-03-05-09,Jkxnub0,"Understand poisoning by mercury, lead, cyanide, arsenic, paraquat, natural poisons, corrosives (acids, alkalis, hydrogen fluoride), and accidental ingestion of button/coin batteries.",JnIAsvM
PS-03-05-10,Jkxnub4,"Understand the symptoms, major examinations, diagnoses, and treatment of disorders caused by high temperatures (heat stroke) and low temperatures (hypothermia)",JnIAsvM
PS-03-05-11,Jkxnub8,"Understand the symptoms, major examinations and diagnoses, and treatment of disorders caused by air pressure, vibration, and noise.",JnIAsvM
PS-03-05-12,Jkxir3g,Understand the pathogenesis of and main diagnostic criteria for trauma.,JnIAsvM
PS-03-05-13,JkxnucA,"Understand how to assess the severity of burns (presence/absence of airway burns, burn area and depth) and treatment strategies.",JnIAsvM
PS-03-05-14,JkxnuOU,"Understand organ failure (multiple organ failure, cytokine storm, and disseminated intravascular coagulation).",JnIAsvM
PS-03-05-15,JtPHWts,Understand intensive care and intensive care units.,JnIAsvM
PS-03-05-16,JtPHWt0,"Understand the biological invasions and reactions that occur in invasive procedures (i.e., surgery, trauma, burns, etc.).",JnIAsvM
PS-03-05-17,JtPHWt4,"Understand the conditions that require mechanical ventilation, extracorporeal membrane oxygen, assisted circulation, and acute blood purification therapy, and their significance.",JnIAsvM
PS-03-05-18,JtPHWuA,Understand temperature management (including therapeutic temperature management) and nutritional management for critically ill patients.,JnIAsvM
PS-03-05-19,JtPHWuE,Understand the concept of post-intensive care syndrome.,JnIAsvM
PS-03-06-01,JkxnucE,"Understand the types of radiation, radioactivity, and an overview of their properties, quantification methods, and units.",JnIAsvU
PS-03-06-02,JkxnucI,"Understand an overview of internal and external radiation exposure, dose management, and its pathogenesis, symptoms, diagnosis, and treatment.",JnIAsvU
PS-03-06-03,JkxnucM,"Understand the effects (both acute and delayed) of radiation and electromagnetic waves on the human body (including the fetus), and how to use them appropriately.",JnIAsvU
PS-03-06-04,JkxnucQ,Understand the differences in radiation permeability and radiosensitivity of various normal tissues.,JnIAsvU
PS-03-06-05,JkxnucU,Understand the characteristics of magnetic fields and electromagnetic waves used in MRI and understand adverse events such as heat generation in the human body and implanted metallic devices.,JnIAsvU
PS-03-06-06,Jkxnucc,"Understand the three fundamental principles of radiological protection in medical and occupational exposure, and safety management, and implement dose reduction in examinations and therapies that use radiation (X-ray, CT, nuclear medicine, angiography, interventional radiology, fluoroscopy, etc.).",JnIAsvU
PS-03-06-07,Jkxnuck,"Understand and determine the effects, costs, risks (e.g., radiation dose, acute and delayed effects), and indications of radiological examinations, including angiography and interventional radiology.",JnIAsvU
PS-03-06-08,Jkxnuco,"Understand the biological principles of radiotherapy, effects of radiation on genes and cells, the mechanisms of radiation-induced cell death, and local and systemic effects.",JnIAsvU
IT-01-01-01,Jkxiflk,Understand the importance and social significance of using information science and technology in medicine.,JnIBpxU
IT-01-01-02,Jkxiflo,"Understand an overview of the regulations, laws, and guidelines related to information science and technology in medicine.",JnIBpxU
IT-01-01-03,Jkxifls,"Discuss ethical issues, such as social disparities caused by the digital divide, that may arise in the use of information science and technology in medicine.",JnIBpxU
IT-01-02-01,Jkxiflw,"Understand the principles of medical data management and storage, including electronic medical records, and comply with relevant regulations, laws, ethical standards, and provisions for protecting personal information.",JnIBpxY
IT-01-02-02,Jkxifl0,Understand and practice appropriate use of social media as a healthcare professional.,JnIBpxY
IT-02-01-01,Jkxifl4,"Use digital devices, such as PCs and smartphones, to make use of information science technology, such as the internet and apps, in medical practice.",JnIBpxc
IT-02-01-02,Jkxifl8,Solve problems using the information and data collected using information science and technology.,JnIBpxc
IT-02-02-01,JkxifmA,"Understand information science and technology related to medical care (medical information systems, wearable devices, applications, artificial intelligence, telemedicine technology, and the Internet of Things [IoT]) and discuss their potential applications.",JnIBpxg
IT-02-02-02,Jkzptx8,Understand the role required of medical professionals when applying information science and technology to medical care by working together with relevant specialists.,JnIBpxg
IT-03-01-01,JkxifmI,Demonstrate effective documentation and use of features unique to electronic medical records.,JnIBpxk
IT-03-01-02,JkxifmM,"Understand the pros and cons of remote communications, and select and use appropriate tools (e-mail, video conference systems, and social media) according to the intended purpose.",JnIBpxk
IT-03-02-01,JkxifmQ,"Use appropriate digital devices and applications (e-learning, mobile technology, etc.) for self-learning and cooperative learning.",JnIBpxs
IT-03-02-02,JkzptyA,Develop flexibility in using new information science and technology in one’s own learning and medical practice.,JnIBpxs
CS-01-01-01,Jkxirsc,Use basic communication skills in medical interviews.,JnICVTo
CS-01-01-02,Jkxirsg,"Establish the patient’s medical history (presenting complaint, history of present illness, medications, allergies, past medical history, family history, preferences, lifestyle, social and occupational history, living environment, home situation, travel history, and review of systems) via a medical interview, and select and organize the information obtained.",JnICVTo
CS-01-01-03,Jkxirso,Obtain necessary information from people close to the patient.,JnICVTo
CS-01-02-01,Jkxirss,Perform a medical examination according to the patient’s condition.,JnICVTs
CS-01-02-02,Jkxirs8,"Assess general appearance (body shape, nutrition, posture, gait, facial features, skin, and speech).",JnICVTs
CS-01-02-03,Jkxirs0,"Check vital signs (temperature, pulse, blood pressure, respiratory rate, and oxygen saturation).",JnICVTs
CS-01-02-04,Jkxirs4,"Examine the patient in appropriate positions (standing, sitting, Fowler’s, supine, and lithotomy position).",JnICVTs
CS-01-02-05,Jm6NdFA,Perform physical examinations for each part of the body ([@tbl:TBL0300]).,JnICVTs
CS-01-02-06,Jkxiru4,Perform necessary basic medical examinations for each medical specialty ([@tbl:TBL0400]).,JnICVTs
CS-02-01-01,Jkxiru8,Gather appropriate patient information and produce a problem-oriented medical record.,JnICVT0
CS-02-01-02,JkxirvA,"Document the clinical course in terms of subjective findings, objective findings, assessment, and planning.",JnICVT0
CS-02-01-03,JkxirvE,Summarize the past medical history in the medical record.,JnICVT0
CS-02-02-01,JkxirvI,Understand the causes and pathophysiology of major symptoms ([@tbl:TBL0500]).,JnICVT8
CS-02-02-02,JkxirvM,Consider and discuss differential diagnosis of major symptoms ([@tbl:TBL0500]) and explain the main diagnostic criteria.,JnICVT8
CS-02-02-03,Jkxirvg,Demonstrate clinical reasoning and make diagnostic inferences on the basis of the presenting complaint in the basic medical departments/specialties ([@tbl:TBL0400]).,JnICVT8
CS-02-02-04,Jkxirvk,Understand the basic pathogenesis and epidemiology of diseases in the basic medical departments/specialties ([@tbl:TBL0400]).,JnICVT8
CS-02-03-01,JkxirwI,"Understand the purpose and significance of major clinical and imaging tests ([@tbl:TBL0600]), select the minimum number of tests required to verify the diagnostic hypothesis, and interpret the results.",JnICVUA
CS-02-03-02,JkxirwM,Understand the correct methods of specimen collection and storage for major clinical and imaging tests ([@tbl:TBL0600]).,JnICVUA
CS-02-03-03,JkxirwQ,"Understand how to perform major clinical and imaging tests ([@tbl:TBL0600]) in a safe manner (patient and specimen verification, test complications, infection prevention, and accuracy control).",JnICVUA
CS-02-03-04,JkxirxE,"Understand the characteristics (sensitivity, specificity, false positives, false negatives, pretest and posttest probability, likelihood ratio, receiver operating characteristic (ROC) curve) and criteria (reference value, reference range, cutoff value, panic value) of major clinical and imaging tests ([@tbl:TBL0600])",JnICVUA
CS-02-03-05,JkxirxI,"Understand physiological variability, measurement error, accuracy control, and human error in major clinical and imaging tests ([@tbl:TBL0600]).",JnICVUA
CS-02-03-06,JkxirxM,Understand patient-specific clinical characteristics and interpret results.,JnICVUA
CS-02-03-07,Jm6NdFI,Understand and interpret the purpose and indications for major clinical and imaging tests ([@tbl:TBL0600]).,JnICVUA
CS-02-04-01,Jkxirx0,Plan initial response to major symptoms ([@tbl:TBL0500]) and consider whether specialist medical care is required.,JnICVUI
CS-02-04-02,Jkxiry4,Understand the basics of taking medication and adherence.,JnICVUI
CS-02-04-03,Jmicn1A,Draft prescriptions.,JnICVUI
CS-02-04-04,JkxiryY,"Understand the pharmacological effects of medications, and their indications, adverse events, and precautions to be taken when administering them.",JnICVUI
CS-02-04-05,Jkxiryw,Understand the key points of drug administration with regard to pharmacokinetic characteristics related to age and organ failure.,JnICVUI
CS-02-04-06,Jkxiry0,Understand pharmacokinetic interactions.,JnICVUI
CS-02-04-07,JkxirzE,"Understand contraindications and the use of drugs under specific conditions (e.g., anti-doping).",JnICVUI
CS-02-04-08,JkxiryU,"Understand the major drug allergy symptoms, diagnosis, prophylaxis, and management.",JnICVUI
CS-02-04-09,JkxiryQ,"Understand drug accumulation, tolerance, tachyphylaxis, and dependence.",JnICVUI
CS-02-04-10,Jkxiryg,"Understand the indications, adverse events, and precautions for the administration of anticancer agents.",JnICVUI
CS-02-04-11,Jkxiryc,"Understand the pharmacological actions, indications, adverse events, and dosing precautions for antimicrobial agents.",JnICVUI
CS-02-04-12,Jkxiryo,"Understand the indications, adverse events, and administration precautions for opioid analgesics and sedatives.",JnICVUI
CS-02-04-13,Jkxiry8,Understand an overview of the pharmacological actions and adverse events of molecular targeted drugs and biopharmaceuticals.,JnICVUI
CS-02-04-14,JkxirzA,"Understand an overview of the characteristics of Chinese medicine, indications of major Japanese and Chinese herbal medicines (Kampo medicine), and their pharmacological actions.",JnICVUI
CS-02-04-15,Jkxirx8,Understand an overview of indications for radiotherapy.,JnICVUI
CS-02-04-16,JkxiryE,Understand an overview of interventional radiology.,JnICVUI
CS-02-04-17,JkxiryI,Understand an overview of the indications for treatments using endoscopy.,JnICVUI
CS-02-04-18,JkxiryM,Understand an overview of the indications for treatments using ultrasound.,JnICVUI
CS-02-04-19,JkxirzU,"Understand the types, indications, and effects of medical coatings.",JnICVUI
CS-02-04-20,JkxirzY,Understand the indications and complications of surgical procedures.,JnICVUI
CS-02-04-21,Jkxirzc,Understand the risk factors of surgery and basic principles of risk management.,JnICVUI
CS-02-04-22,Jkxirzg,Understand the major postoperative complications and the basic principles of prevention.,JnICVUI
CS-02-04-23,Jkxirzk,Understand the importance of informed consent for surgery and invasive procedures.,JnICVUI
CS-02-04-24,Jkxirzo,Understand preoperative risk assessment.,JnICVUI
CS-02-04-25,Jkxirzs,Understand perioperative medication management and risk.,JnICVUI
CS-02-04-26,Jkxirzw,Understand perioperative fluid and blood transfusions.,JnICVUI
CS-02-04-27,Jkxirz0,Understand perioperative pain management.,JnICVUI
CS-02-04-28,Jkxir0Q,"Understand an overview of the indications, contraindications, and complications of local anesthesia, peripheral nerve block, plexus block, spinal anesthesia, and epidural anesthesia.",JnICVUI
CS-02-04-29,Jkxir0E,Understand an overview of preoperative assessment for safe management of anesthesia.,JnICVUI
CS-02-04-30,Jkxir0U,"Understand an overview of patient monitoring during anesthesia, and major abnormal findings and how to manage them.",JnICVUI
