index,id,system,category,item,core
TBL-01-00-259,Jlvnl3M,Digestive system,Gastrointestinal and duodenal disease,Postgastrectomy syndromes,
TBL-01-00-260,Jlvnl3Y,Digestive system,Gastrointestinal and duodenal disease,Pyloric stenosis,
TBL-01-00-261,Jlvnl3c,Digestive system,Gastrointestinal and duodenal disease,Gastrointestinal anisakiasis,
TBL-01-00-262,Jlvnl38,Digestive system,Diseases of the small and large intestine,Diverticulitis,
TBL-01-00-263,Jlvnl4E,Digestive system,Diseases of the small and large intestine,Diverticular hemorrhage,
TBL-01-00-264,Jlvnl3k,Digestive system,Diseases of the small and large intestine,Acute appendicitis,●
TBL-01-00-265,Jlvnl3o,Digestive system,Diseases of the small and large intestine,Intestinal obstruction,●
TBL-01-00-266,Jlvnl4g,Digestive system,Diseases of the small and large intestine,Intussusception,
TBL-01-00-267,Jlvnl30,Digestive system,Diseases of the small and large intestine,Hemorrhoids,●
TBL-01-00-268,Jlvnl4o,Digestive system,Diseases of the small and large intestine,Constipation,●
TBL-01-00-269,Jlvnl34,Digestive system,Diseases of the small and large intestine,Functional gastrointestinal disorders (irritable bowel syndrome),●
TBL-01-00-270,Jlvnl4s,Digestive system,Diseases of the small and large intestine,Infectious enteritis and colitis,
TBL-01-00-271,Jlvnl48,Digestive system,Diseases of the small and large intestine,Ischemic colitis,
TBL-01-00-272,Jlvnl3s,Digestive system,Diseases of the small and large intestine,Ulcerative colitis,●
TBL-01-00-273,Jlvnl3w,Digestive system,Diseases of the small and large intestine,Crohn’s disease,●
TBL-01-00-274,Jlvnl40,Digestive system,Diseases of the small and large intestine,Infantile diarrhea,
TBL-01-00-275,Jlvnl4U,Digestive system,Diseases of the small and large intestine,Imperforate anus,
TBL-01-00-276,Jlvnl4c,Digestive system,Diseases of the small and large intestine,Hirschsprung’s disease,
TBL-01-00-277,Jlvnl5A,Digestive system,Diseases of the small and large intestine,Acute hemorrhagic rectal ulcer,
TBL-01-00-278,Jlvnl5I,Digestive system,Diseases of the small and large intestine,Superior mesenteric artery occlusion,
TBL-01-00-279,Jlvnl4Q,Digestive system,Common diseases of the gastrointestinal tract,Gastrointestinal polyposis,
TBL-01-00-280,Jlvnl28,Digestive system,Common diseases of the gastrointestinal tract,Acute gastroenteritis,●
TBL-01-00-281,Jlvnl4I,Digestive system,Common diseases of the gastrointestinal tract,Drug-induced gastrointestinal disorders,
TBL-01-00-282,Jlvnl50,Digestive system,Liver disease,Hepatitis A,●
TBL-01-00-283,Jlvnl54,Digestive system,Liver disease,Hepatitis B,●
TBL-01-00-284,Jlvnl6A,Digestive system,Liver disease,Hepatitis C,●
TBL-01-00-285,Jlvnl6Q,Digestive system,Liver disease,Acute hepatitis,●
TBL-01-00-286,Jlvnl6Y,Digestive system,Liver disease,Chronic hepatitis,●
TBL-01-00-287,Jlvnl6g,Digestive system,Liver disease,Acute liver failure,●
TBL-01-00-288,Jlvnl7c,Digestive system,Liver disease,Fatty liver,●
TBL-01-00-289,Jlvnl64,Digestive system,Liver disease,Alcoholic liver disease,●
TBL-01-00-290,Jlvnl68,Digestive system,Liver disease,Drug-induced liver disease,
TBL-01-00-291,Jlvnl7E,Digestive system,Liver disease,Liver abscess,
TBL-01-00-292,Jlvnl7I,Digestive system,Liver disease,Primary biliary cholangitis (PBC),
TBL-01-00-293,Jlvnl7Q,Digestive system,Liver disease,Primary sclerosing cholangitis (PSC),
TBL-01-00-294,Jlvnl7Y,Digestive system,Liver disease,Autoimmune hepatitis,
TBL-01-00-295,Juyv1iM,Digestive system,Liver disease,Cirrhosis of liver,
TBL-01-00-296,Jlvnl6k,Digestive system,Liver disease,Portal hypertension,●
TBL-01-00-297,Jlvnl6s,Digestive system,Liver disease,Hepatic encephalopathy,●
TBL-01-00-298,Jlvnl6w,Digestive system,Liver disease,Liver cancer,●
TBL-01-00-299,Jlvnl5M,Digestive system,Biliary disease,Cholelithiasis,●
TBL-01-00-300,Jlvnl5U,Digestive system,Biliary disease,Cholecystitis,●
TBL-01-00-301,Jlvnl5Y,Digestive system,Biliary disease,Cholangitis,●
TBL-01-00-302,Jlvnl5g,Digestive system,Biliary disease,Gallbladder polyp,
TBL-01-00-303,Jlvnl5k,Digestive system,Biliary disease,Congenital dilation of the bile duct,
TBL-01-00-304,Jlvnl5s,Digestive system,Biliary disease,Pancreatic and biliary confluence abnormalities,
TBL-01-00-305,Jlvnl7k,Digestive system,Pancreatic disease,Acute pancreatitis (alcoholic/biliary/idiopathic),●
TBL-01-00-306,Jlvnl7o,Digestive system,Pancreatic disease,Chronic pancreatitis (alcoholic/idiopathic),●
TBL-01-00-307,Jlvnl7w,Digestive system,Pancreatic disease,Autoimmune pancreatitis,
TBL-01-00-308,Jlvnl70,Digestive system,"Diseases of the peritoneum, abdominal wall, and diaphragm",Peritonitis,●
TBL-01-00-309,Jlvnl78,Digestive system,"Diseases of the peritoneum, abdominal wall, and diaphragm",Hernia (sliding hiatus/incarcerated/strangulated),
TBL-01-00-310,Jlvnl8E,Digestive system,"Diseases of the peritoneum, abdominal wall, and diaphragm",Inguinal hernia,●
TBL-01-00-311,Jlvnl8Q,Renal and urinary system (including fluid and electrolyte balance),Impairment of renal function,Acute kidney injury (AKI),●
TBL-01-00-312,Jlvnl8U,Renal and urinary system (including fluid and electrolyte balance),Impairment of renal function,Chronic kidney disease (CKD),●
TBL-01-00-313,Jlvnl8c,Renal and urinary system (including fluid and electrolyte balance),Impairment of renal function,Chronic renal failure,
TBL-01-00-314,Jlvnl8g,Renal and urinary system (including fluid and electrolyte balance),Electrolyte disturbance,Hyper- and hyponatremia,●
TBL-01-00-315,Jlvnl8o,Renal and urinary system (including fluid and electrolyte balance),Electrolyte disturbance,Hyper- and hypokalemia,●
TBL-01-00-316,Jlvnl8s,Renal and urinary system (including fluid and electrolyte balance),Electrolyte disturbance,Hyper- and hypocalcemia,●
TBL-01-00-317,Jlvnl80,Renal and urinary system (including fluid and electrolyte balance),Electrolyte disturbance,Hyper- and hypophosphatemia,
TBL-01-00-318,Jlvnl84,Renal and urinary system (including fluid and electrolyte balance),Electrolyte disturbance,Hyper- and hypomagnesemia,
TBL-01-00-319,Jlvnl9A,Renal and urinary system (including fluid and electrolyte balance),Acid-base imbalance,Acidosis (metabolic and respiratory),
TBL-01-00-320,Jlvnl9I,Renal and urinary system (including fluid and electrolyte balance),Acid-base imbalance,Alkalosis (metabolic and respiratory),
TBL-01-00-321,Jlvnl9M,Renal and urinary system (including fluid and electrolyte balance),Primary glomerular disease,Acute glomerulonephritis,●
TBL-01-00-322,Jlvnl9U,Renal and urinary system (including fluid and electrolyte balance),Primary glomerular disease,IgA nephropathy,●
TBL-01-00-323,Jlvnl9Y,Renal and urinary system (including fluid and electrolyte balance),Primary glomerular disease,Membranous nephropathy,●
TBL-01-00-324,Jlvnl9g,Renal and urinary system (including fluid and electrolyte balance),Primary glomerular disease,Focal segmental glomerulosclerosis,
TBL-01-00-325,Jlvnl9k,Renal and urinary system (including fluid and electrolyte balance),Primary glomerular disease,Minimal change disease,●
TBL-01-00-326,Jlvnl9s,Renal and urinary system (including fluid and electrolyte balance),Primary glomerular disease,Membranous proliferative glomerulonephritis,
TBL-01-00-327,Jlvnl90,Renal and urinary system (including fluid and electrolyte balance),Hypertension and renal vascular disease,Nephrosclerosis,
TBL-01-00-328,Jlvnl94,Renal and urinary system (including fluid and electrolyte balance),Hypertension and renal vascular disease,Renovascular hypertension,
TBL-01-00-329,Jlvnl-A,Renal and urinary system (including fluid and electrolyte balance),Tubular and interstitial diseases,Renal tubular acidosis,
TBL-01-00-330,Jlvnl-E,Renal and urinary system (including fluid and electrolyte balance),Tubular and interstitial diseases,Tubulointerstitial nephritis (acute and chronic),
TBL-01-00-331,Jlvnl-M,Renal and urinary system (including fluid and electrolyte balance),Tubular and interstitial diseases,Acute pyelonephritis,●
TBL-01-00-332,Jlvnl-Q,Renal and urinary system (including fluid and electrolyte balance),Renal impairment due to systemic disease,Diabetic nephropathy,●
TBL-01-00-333,Jlvnl-Y,Renal and urinary system (including fluid and electrolyte balance),Renal impairment due to systemic disease,IgA vasculitis,
TBL-01-00-334,Jlvnl-g,Renal and urinary system (including fluid and electrolyte balance),Renal impairment due to systemic disease,Renal amyloidosis,
TBL-01-00-335,Jlvnl-w,Renal and urinary system (including fluid and electrolyte balance),Renal impairment due to systemic disease,Anti-glomerular basement membrane disease (anti-GBM disease),
TBL-01-00-336,Jlvnl-k,Renal and urinary system (including fluid and electrolyte balance),Renal impairment due to systemic disease,Lupus nephritis,
TBL-01-00-337,Jlvnl-s,Renal and urinary system (including fluid and electrolyte balance),Renal impairment due to systemic disease,Vasculitis syndrome,
TBL-01-00-338,Jlvnl-4,Renal and urinary system (including fluid and electrolyte balance),Congenital anomalies and trauma,Polycystic kidney disease,
TBL-01-00-339,Jlvnl-8,Renal and urinary system (including fluid and electrolyte balance),Congenital anomalies and trauma,Vesicoureteral reflux,
TBL-01-00-340,Jlvnl_E,Renal and urinary system (including fluid and electrolyte balance),Congenital anomalies and trauma,Renal trauma,
TBL-01-00-341,Jlvnl_I,Renal and urinary system (including fluid and electrolyte balance),Urinary tract disease,Urinary stone disease,●
TBL-01-00-342,Jlvnl_g,Renal and urinary system (including fluid and electrolyte balance),Urinary tract disease,Neurogenic bladder,
TBL-01-00-343,Jlvnl_Q,Renal and urinary system (including fluid and electrolyte balance),Urinary tract disease,Cystitis,●
TBL-01-00-344,Jlvnl_U,Renal and urinary system (including fluid and electrolyte balance),Urinary tract disease,Prostatitis,●
TBL-01-00-345,Jlvnl_c,Renal and urinary system (including fluid and electrolyte balance),Urinary tract disease,Urethritis,●
TBL-01-00-346,Jlvnl_w,Reproductive system,Diseases of the male reproductive organs,Male infertility,
TBL-01-00-347,Jlvnl_0,Reproductive system,Diseases of the male reproductive organs,Enlarged prostate,●
TBL-01-00-348,Jlvnl_8,Reproductive system,Diseases of the male reproductive organs,Prostatitis,
TBL-01-00-349,JlvnmAA,Reproductive system,Diseases of the male reproductive organs,Undescended testicle,
TBL-01-00-350,JlvnmAI,Reproductive system,Diseases of the male reproductive organs,Scrotal/testicular mass,
TBL-01-00-351,JlvnmAQ,Reproductive system,Diseases of the male reproductive organs,Testicular torsion,
TBL-01-00-352,JlvnmAo,Reproductive system,Diseases of the female reproductive organs,Primary dysmenorrhea,●
TBL-01-00-353,JlvnmAU,Reproductive system,Diseases of the female reproductive organs,Congenital malformations of internal reproductive organs and external genitalia,
TBL-01-00-354,JlvnmAc,Reproductive system,Diseases of the female reproductive organs,Ovarian dysfunction,
TBL-01-00-355,JlvnmA0,Reproductive system,Diseases of the female reproductive organs,Menopausal and female climacteric states,●
TBL-01-00-356,JlvnmA4,Reproductive system,Diseases of the female reproductive organs,Female infertility,
TBL-01-00-357,JlvnmBA,Reproductive system,Diseases of the female reproductive organs,Uterine fibroids and adenomyosis of the uterus,●
TBL-01-00-358,JlvnmBE,Reproductive system,Diseases of the female reproductive organs,Endometriosis,●
TBL-01-00-359,JlvnmBM,Reproductive system,Diseases of the female reproductive organs,Genital tract and pelvic infections,
TBL-01-00-360,JlvnmBg,Pregnancy and delivery,Abnormal pregnancy,Hyperemesis gravidarum,
TBL-01-00-361,JlvnmBk,Pregnancy and delivery,Abnormal pregnancy,Ectopic pregnancy,●
TBL-01-00-362,JlvnmBs,Pregnancy and delivery,Abnormal pregnancy,Miscarriage and threatened miscarriage,●
TBL-01-00-363,JlvnmBw,Pregnancy and delivery,Abnormal pregnancy,High risk pregnancy,
TBL-01-00-364,JlvnmB4,Pregnancy and delivery,Abnormal pregnancy,Gestational hypertension,●
TBL-01-00-365,JlvnmCA,Pregnancy and delivery,Abnormal pregnancy,Multiple gestation,
TBL-01-00-366,JlvnmCE,Pregnancy and delivery,Abnormal pregnancy,Premature rupture of membranes and preterm premature rupture of membranes,
TBL-01-00-367,JlvnmCM,Pregnancy and delivery,Abnormal pregnancy,Threatened preterm labor,●
TBL-01-00-368,JlvnmCQ,Pregnancy and delivery,Abnormal pregnancy,Maternal care for abnormalities of the fetal heart rate or rhythm,
TBL-01-00-369,JlvnmCY,Pregnancy and delivery,Abnormal delivery,Preterm labor with preterm delivery,●
TBL-01-00-370,JlvnmCc,Pregnancy and delivery,Abnormal delivery,Uterine inertia,
TBL-01-00-371,JlvnmCk,Pregnancy and delivery,Abnormal delivery,Long labor,
TBL-01-00-372,JlvnmCo,Pregnancy and delivery,Abnormal delivery,Obstructed labor due to incomplete rotation of fetal head,
TBL-01-00-373,JlvnmCw,Pregnancy and delivery,Abnormal delivery,Placenta previa,
TBL-01-00-374,JlvnmC4,Pregnancy and delivery,Abnormal delivery,Placenta accreta,
TBL-01-00-375,JlvnmC8,Pregnancy and delivery,Abnormal delivery,Premature separation of placenta/placental abruption,
TBL-01-00-376,JlvnmDE,Pregnancy and delivery,Abnormal delivery,Birth injury,
TBL-01-00-377,JlvnmDI,Pregnancy and delivery,Puerperal complications,Subinvolution of uterus,
TBL-01-00-378,JlvnmDQ,Pregnancy and delivery,Puerperal complications,Puerperal sepsis,
TBL-01-00-379,JlvnmDU,Pregnancy and delivery,Puerperal complications,Mastitis,
TBL-01-00-380,JlvnmDc,Pregnancy and delivery,Postpartum hemorrhage,Atonic postpartum hemorrhage,
TBL-01-00-381,JlvnmDg,Pregnancy and delivery,Postpartum hemorrhage,Amniotic fluid embolism,
TBL-01-00-382,JlvnmDk,Pregnancy and delivery,Postpartum hemorrhage,Disseminated intravascular coagulation (DIC),
TBL-01-00-383,JlvnmDo,Pregnancy and delivery,Complications in pregnancy,Anemia,
TBL-01-00-384,JlvnmDs,Pregnancy and delivery,Complications in pregnancy,Abnormal glucose tolerance/gestational diabetes,
TBL-01-00-385,JlvnmD0,Pregnancy and delivery,Complications in pregnancy,Thyroid disorders in pregnancy,
TBL-01-00-386,JlvnmD8,Pregnancy and delivery,Complications in pregnancy,Immune thrombocytopenic purpura (ITP),
TBL-01-00-387,JlvnmEk,Pregnancy and delivery,Mother-to-child transmission,TORCH syndrome,
TBL-01-00-388,JlvnmEA,Pregnancy and delivery,Mother-to-child transmission,Hepatitis B,
TBL-01-00-389,JlvnmEI,Pregnancy and delivery,Mother-to-child transmission,Hepatitis C,
TBL-01-00-390,JlvnmEM,Pregnancy and delivery,Mother-to-child transmission,HIV and AIDS,
TBL-01-00-391,JlvnmEU,Pregnancy and delivery,Mother-to-child transmission,HTLV-I infection,
TBL-01-00-392,JlvnmEY,Pregnancy and delivery,Mother-to-child transmission,Parvovirus B19 infection,
TBL-01-00-393,JlvnmEg,Pregnancy and delivery,Mother-to-child transmission,Group B streptococcus (GBS) infections,
TBL-01-00-394,JlvnmEs,Pediatrics,Diseases of the blood and blood-forming organs,Acute leukemia,●
TBL-01-00-395,JnekjMI,Pediatrics,Diseases of the blood and blood-forming organs,Malignant lymphoma,
TBL-01-00-396,JlvnmE0,Pediatrics,Diseases of the blood and blood-forming organs,Vitamin K deficiency,
TBL-01-00-397,JlvnmE4,Pediatrics,Diseases of the nervous system,Febrile seizures,●
TBL-01-00-398,Juyv3WQ,Pediatrics,Diseases of the nervous system,Night terror,
TBL-01-00-399,Juyv3Wc,Pediatrics,Diseases of the nervous system,Enuresis,
TBL-01-00-400,Juyv3Wg,Pediatrics,Diseases of the nervous system,Acute encephalopathy,
TBL-01-00-401,JlvnmFA,Pediatrics,Diseases of the nervous system,Cerebral palsy,●
TBL-01-00-402,JlvnmFE,Pediatrics,Diseases of the nervous system,Hydrocephalus,
TBL-01-00-403,JlvnmFM,Pediatrics,Diseases of the skin,Impetigo,
TBL-01-00-404,JnekjMQ,Pediatrics,Diseases of the skin,Staphylococcal scalded skin syndrome (SSSS),
TBL-01-00-405,JlvnmFQ,Pediatrics,Diseases of the skin,Molluscum contagiosum,
TBL-01-00-406,JlvnmFY,Pediatrics,Diseases of the skin,Measles,●
TBL-01-00-407,JlvnmFg,Pediatrics,Diseases of the skin,Rubella,●
TBL-01-00-408,JlvnmFk,Pediatrics,Diseases of the skin,Chicken pox,●
TBL-01-00-409,JlvnmFs,Pediatrics,Diseases of the skin,Erythema infectiosum,
TBL-01-00-410,JlvnmFw,Pediatrics,Diseases of the skin,"Hand, foot, and mouth disease",
TBL-01-00-411,JlvnmF4,Pediatrics,Diseases of the circulatory system,Atrial septal defect,
TBL-01-00-412,JlvnmF8,Pediatrics,Diseases of the circulatory system,Ventricular septal defect,
TBL-01-00-413,JlvnmGE,Pediatrics,Diseases of the circulatory system,Patent ductus arteriosus,
TBL-01-00-414,JlvnmGM,Pediatrics,Diseases of the circulatory system,Tetralogy of Fallot,
TBL-01-00-415,JlvnmGQ,Pediatrics,Diseases of the respiratory system,Croup,
TBL-01-00-416,JlvnmGY,Pediatrics,Diseases of the respiratory system,Bronchiolitis,●
TBL-01-00-417,JlvnmGc,Pediatrics,Diseases of the respiratory system,Bronchial asthma (including cough variant asthma),●
TBL-01-00-418,JlvnmGk,Pediatrics,Diseases of the gastrointestinal system,Hypertrophic pyloric stenosis,
TBL-01-00-419,JlvnmGo,Pediatrics,Diseases of the gastrointestinal system,Imperforate anus,
TBL-01-00-420,JlvnmGs,Pediatrics,Diseases of the gastrointestinal system,Hirschsprung’s disease,
TBL-01-00-421,JlvnmGw,Pediatrics,Diseases of the gastrointestinal system,Intussusception,●
TBL-01-00-422,JlvnmG0,Pediatrics,Diseases of the gastrointestinal system,Constipation,
TBL-01-00-423,JlvnmG8,Pediatrics,Diseases of the gastrointestinal system,Infantile diarrhea,●
TBL-01-00-424,JlvnmHE,Pediatrics,Diseases of the gastrointestinal system,Biliary atresia,
TBL-01-00-425,JlvnmHI,Pediatrics,Diseases of the gastrointestinal system,Inguinal hernia,●
TBL-01-00-426,JlvnmHQ,Pediatrics,Disease of the renal and urinary system,Hemolytic-uremic syndrome (HUS),
TBL-01-00-427,JlvnmHU,Pediatrics,Disease of the renal and urinary system,Nephrotic syndrome,●
TBL-01-00-428,JlvnmHc,Pediatrics,Disease of the renal and urinary system,Purpura nephritis,
TBL-01-00-429,JlvnmHg,Pediatrics,Disease of the renal and urinary system,Congenital anomalies of the kidney and urinary tract,
TBL-01-00-430,JlvnmHo,Pediatrics,Disease of the renal and urinary system,Vesicoureteral reflux,
TBL-01-00-431,JlvnmHw,Pediatrics,Endocrine and metabolic diseases,Short stature associated with growth hormone deficiency,
TBL-01-00-432,JlvnmH0,Pediatrics,Endocrine and metabolic diseases,Congenital adrenal hyperplasia,
TBL-01-00-433,JlvnmH8,Pediatrics,Endocrine and metabolic diseases,Cyclic vomiting syndrome,
TBL-01-00-434,JlvnmIA,Pediatrics,"Mental, behavioral, and neurodevelopmental disorders",Autism spectrum disorder (ASD),
TBL-01-00-435,JlvnmII,Pediatrics,"Mental, behavioral, and neurodevelopmental disorders",Attention deficit hyperactivity disorder (ADHD),
TBL-01-00-436,JlvnmIM,Pediatrics,"Mental, behavioral, and neurodevelopmental disorders",Specific learning disability,
TBL-01-00-437,JlvnmIQ,Pediatrics,"Mental, behavioral, and neurodevelopmental disorders",Tic disorder,
TBL-01-00-438,JlvnmIU,Pediatrics,Psychosomatic diseases,Psychosomatic illness,
TBL-01-00-439,JlvnmI4,Pediatrics,Immunology and allergy,IgA vasculitis,
TBL-01-00-440,JlvnmJA,Pediatrics,Immunology and allergy,Kawasaki disease,
TBL-01-00-441,JlvnmJE,Pediatrics,Chromosomal abnormality,Down’s syndrome,
TBL-01-00-442,JlvnmJM,Pediatrics,Neonatal,Perinatal asphyxia,
TBL-01-00-443,JlvnmJU,Pediatrics,Neonatal,Infantile respiratory distress syndrome (IRDS),
TBL-01-00-444,JlvnmJY,Pediatrics,Neonatal,Neonatal jaundice (hyperbilirubinemia),
TBL-01-00-445,JlvnmJg,Pediatrics,Neonatal,Preterm and low birth weight infants,
TBL-01-00-446,JlvnmJk,Pediatrics,Neonatal,Meconium aspiration syndrome,
TBL-01-00-447,JlvnmJs,Pediatrics,Neonatal,Transient tachypnea of the newborn,
TBL-01-00-448,JlvnmJw,Pediatrics,Emergency and intensive care,Sudden infant death syndrome (SIDS),
TBL-01-00-449,JlvnmJ4,Pediatrics,Emergency and intensive care,Child abuse,
TBL-01-00-450,Juyv51s,Pediatrics,Emergency and intensive care,Pediatric acute respiratory distress syndrome (PARDS),
TBL-01-00-451,Juyv510,Pediatrics,Emergency and intensive care,Sepsis,
TBL-01-00-452,Juyv518,Pediatrics,Emergency and intensive care,Foreign body in the digestive tract,
TBL-01-00-453,Juyv52A,Pediatrics,Emergency and intensive care,Foreign body in the respiratory tract,
TBL-01-00-454,JlvnmJ8,Breast,Emergency and intensive care,Benign breast diseases (mastitis/mastopathy),
TBL-01-00-455,JlvnmKI,"Endocrine, nutritional, and metabolic system",Intracranial and pituitary disease,Acromegaly,
TBL-01-00-456,JlvnmKQ,"Endocrine, nutritional, and metabolic system",Intracranial and pituitary disease,Cushing disease,
TBL-01-00-457,JlvnmKY,"Endocrine, nutritional, and metabolic system",Intracranial and pituitary disease,Hyperprolactinemia,
TBL-01-00-458,JlvnmKk,"Endocrine, nutritional, and metabolic system",Intracranial and pituitary disease,Hypothalamus hypopituitarism,
TBL-01-00-459,JlvnmKo,"Endocrine, nutritional, and metabolic system",Intracranial and pituitary disease,Central enuresis,
TBL-01-00-460,JlvnmKw,"Endocrine, nutritional, and metabolic system",Intracranial and pituitary disease,Syndrome of inappropriate antidiuretic hormone secretion (SIADH),
TBL-01-00-461,JlvnmK0,"Endocrine, nutritional, and metabolic system",Intracranial and pituitary disease,Pituitary tumor,
TBL-01-00-462,JlvnmK8,"Endocrine, nutritional, and metabolic system",Thyroid disease,Hyperthyroidism,●
TBL-01-00-463,JlvnmLA,"Endocrine, nutritional, and metabolic system",Thyroid disease,Hypothyroidism,●
TBL-01-00-464,JlvnmLE,"Endocrine, nutritional, and metabolic system",Thyroid disease,"Thyroiditis (chronic, painless, subacute)",
TBL-01-00-465,JlvnmLI,"Endocrine, nutritional, and metabolic system",Parathyroid disorders,Hyperparathyroidism,
TBL-01-00-466,JlvnmLQ,"Endocrine, nutritional, and metabolic system",Parathyroid disorders,Hypoparathyroidism,
TBL-01-00-467,JlvnmLU,"Endocrine, nutritional, and metabolic system",Parathyroid disorders,Hypercalcemia associated with malignancy,
TBL-01-00-468,JlvnmLc,"Endocrine, nutritional, and metabolic system",Adrenocortical and adrenal medullary disorders,Cushing syndrome,
TBL-01-00-469,JlvnmLg,"Endocrine, nutritional, and metabolic system",Adrenocortical and adrenal medullary disorders,Hyperaldosteronism,
TBL-01-00-470,JlvnmLo,"Endocrine, nutritional, and metabolic system",Adrenocortical and adrenal medullary disorders,Primary aldosteronism,
TBL-01-00-471,JlvnmLs,"Endocrine, nutritional, and metabolic system",Adrenocortical and adrenal medullary disorders,Adrenal insufficiency (acute and chronic (Addison’s disease)),
TBL-01-00-472,JlvnmL0,"Endocrine, nutritional, and metabolic system",Glucometabolic abnormality,Type 1 diabetes mellitus,●
TBL-01-00-473,JlvnmL8,"Endocrine, nutritional, and metabolic system",Glucometabolic abnormality,Type 2 diabetes mellitus,●
TBL-01-00-474,JlvnmMs,"Endocrine, nutritional, and metabolic system",Glucometabolic abnormality,Hypoglycemia,
TBL-01-00-475,JlvnmMA,"Endocrine, nutritional, and metabolic system",Complications of diabetes mellitus,Diabetic ketoacidosis,●
TBL-01-00-476,JlvnmMI,"Endocrine, nutritional, and metabolic system",Complications of diabetes mellitus,Hyperglycemia-hyperosmotic syndrome,●
TBL-01-00-477,JlvnmMM,"Endocrine, nutritional, and metabolic system",Complications of diabetes mellitus,Lactic acidosis,
TBL-01-00-478,JlvnmMU,"Endocrine, nutritional, and metabolic system",Complications of diabetes mellitus,Diabetic retinopathy,●
TBL-01-00-479,JlvnmMY,"Endocrine, nutritional, and metabolic system",Complications of diabetes mellitus,Diabetic nephropathy,●
TBL-01-00-480,JlvnmMg,"Endocrine, nutritional, and metabolic system",Complications of diabetes mellitus,Diabetic neuropathy,●
TBL-01-00-481,JlvnmMk,"Endocrine, nutritional, and metabolic system",Complications of diabetes mellitus,Diabetic foot,●
TBL-01-00-482,JlvnmMw,"Endocrine, nutritional, and metabolic system",Abnormal lipid metabolism,"Dyslipidemia (dyslipidemia, dyslipidemia)",●
TBL-01-00-483,JlvnmM4,"Endocrine, nutritional, and metabolic system",Abnormal lipid metabolism,Obesity,
TBL-01-00-484,JlvnmNA,"Endocrine, nutritional, and metabolic system","Vitamin, nucleic acid, and other metabolismabnormality",Avitaminosis,
TBL-01-00-485,JlvnmNE,"Endocrine, nutritional, and metabolic system","Vitamin, nucleic acid, and other metabolismabnormality",Hyperuricemia/gout,●
TBL-01-00-486,JlvnmNM,"Endocrine, nutritional, and metabolic system","Vitamin, nucleic acid, and other metabolismabnormality",Systemic amyloidosis,
TBL-01-00-487,JlvnmNQ,"Endocrine, nutritional, and metabolic system",Childhood diseases,Short stature with failure of growth hormone secretion,
TBL-01-00-488,JlvnmNY,"Endocrine, nutritional, and metabolic system",Childhood diseases,Congenital adrenal cortical hyperplasia,
TBL-01-00-489,JlvnmNk,Ocular and visual system,Lens disorders,Refractive error (myopia/farsightedness/astigmatism) and dysregulation,
TBL-01-00-490,JlvnmNs,Ocular and visual system,"Conjunctival, scleral, and corneal disorders",Conjunctivitis/keratitis,●
TBL-01-00-491,JlvnmOk,Ocular and visual system,"Conjunctival, scleral, and corneal disorders",Chemical damage (alkali/acid),
TBL-01-00-492,JlvnmNw,Ocular and visual system,Eyelid disorders,Hordeolum/chalazion,
TBL-01-00-493,JlvnmN4,Ocular and visual system,Ocular tissue disorders,Cataract,●
TBL-01-00-494,JlvnmN8,Ocular and visual system,Ocular tissue disorders,Glaucoma,●
TBL-01-00-495,JlvnmOc,Ocular and visual system,Optic nerve and visual pathway disorders,"Optic neuritis, papillary stasis",
TBL-01-00-496,JlvnmOY,Ocular and visual system,Uveal diseases,Uveitis,
TBL-01-00-497,JlvnmOQ,Ocular and visual system,Choroidal and retinal disorders,"Fundus changes due to diabetes and hypertension (e.g., diabetic retinopathy)",●
TBL-01-00-498,JlvnmOE,Ocular and visual system,Choroidal and retinal disorders,Rhegmatogenous retinal detachment,
TBL-01-00-499,JlvnmOI,Ocular and visual system,Choroidal and retinal disorders,Age-related macular degeneration and retinitis pigmentosa,
TBL-01-00-500,JlvnmOo,Ocular and visual system,Choroidal and retinal disorders,Retinal vein occlusion and arterial occlusion embolism,
TBL-01-00-501,JlvnmO0,"Ear, nose, throat, and oral cavity",Diseases of the ear,"Otitis media (acute, chronic, exudative, pearly)",●
TBL-01-00-502,JlvnmO8,"Ear, nose, throat, and oral cavity",Diseases of the ear,Otitis externa,
TBL-01-00-503,JlvnmPI,"Ear, nose, throat, and oral cavity",Diseases of the ear,"Hearing loss (noise, drug, sudden, senile)",
TBL-01-00-504,JlvnmPM,"Ear, nose, throat, and oral cavity",Diseases of the ear,Hearing loss in infants,
TBL-01-00-505,JlvnmPc,"Ear, nose, throat, and oral cavity",Diseases of the ear,Agoraphobia,
TBL-01-00-506,JlvnmPg,"Ear, nose, throat, and oral cavity",Diseases of the ear,Benign paroxysmal positional vertigo,●
TBL-01-00-507,JlvnmPo,"Ear, nose, throat, and oral cavity",Diseases of the ear,Ménière’s disease,●
TBL-01-00-508,JlvnmPs,"Ear, nose, throat, and oral cavity",Diseases of the ear,Vestibular neuritis,
TBL-01-00-509,JlvnmP0,"Ear, nose, throat, and oral cavity",Diseases of the nose,Nosebleed,●
TBL-01-00-510,JlvnmP4,"Ear, nose, throat, and oral cavity",Diseases of the nose,Sinusitis (acute/chronic),●
TBL-01-00-511,JlvnmQA,"Ear, nose, throat, and oral cavity",Diseases of the nose,Allergic rhinitis,●
